CANT TIEMPO
84800 14.7597
84900 14.7596
85000 14.7388
85100 14.7545
85200 14.746
85300 14.7613
85400 14.7644
85500 14.7876
85600 14.7817
85700 14.7906
85800 14.7907
85900 14.8
86000 14.8027
86100 14.7258
86200 14.7294
86300 14.7359
86400 14.7474
86500 14.7601
86600 14.7528
86700 14.7631
86800 14.7669
86900 14.7802
87000 14.7925
87100 14.7775
87200 14.7785
87300 14.783
87400 14.7961
87500 14.8103
87600 14.8046
87700 14.8232
87800 14.8212
87900 14.8225
88000 14.8317
88100 14.7981
88200 14.8038
88300 14.8192
88400 14.8151
88500 14.8374
88600 14.8291
88700 14.8408
88800 14.8397
88900 14.8451
89000 14.855
89100 14.8467
89200 14.8476
89300 14.8563
89400 14.8639
89500 14.8768
89600 14.8662
89700 14.8737
89800 14.8876
89900 14.8888
90000 14.8964
90100 14.9001
90200 14.7327
90300 14.737
90400 14.7462
90500 14.7607
90600 14.7725
90700 14.7758
90800 14.7809
90900 14.7908
91000 14.7893
91100 14.8038
91200 14.7879
91300 14.8003
91400 14.7936
91500 14.8153
91600 14.8162
91700 14.8202
91800 14.8281
91900 14.8299
92000 14.8376
92100 14.8444
92200 14.8176
92300 14.8265
92400 14.8272
92500 14.8311
92600 14.836
92700 14.8442
92800 14.8433
92900 14.8535
93000 14.852
93100 14.8665
93200 14.8529
93300 14.8631
93400 14.8709
93500 14.8644
93600 14.8777
93700 14.8813
93800 14.8941
93900 14.8966
94000 14.9015
94100 14.9138
94200 14.9137
94300 14.8419
94400 14.8483
94500 14.8483
94600 14.8594
94700 14.8644
94800 14.8647
94900 14.8567
95000 14.8718
95100 14.8856
95200 14.8982
95300 14.8827
95400 14.8856
95500 14.8949
95600 14.9134
95700 14.9107
95800 14.9005
95900 14.911
96000 14.9193
96100 14.9292
96200 14.9402
96300 14.903
96400 14.9119
96500 14.9181
96600 14.9155
96700 14.9277
96800 14.9284
96900 14.9362
97000 14.9433
97100 14.9446
97200 14.9592
97300 14.9419
97400 14.9521
97500 14.9591
97600 14.9716
97700 14.9766
97800 14.9621
97900 14.9746
98000 14.9889
98100 14.9844
98200 14.9957
98300 15.0027
98400 15.0139
98500 15.0068
98600 15.0272
98700 15.026
98800 15.049
98900 15.0454
99000 15.0503
99100 15.0568
99200 15.0711
99300 15.0568
99400 15.0719
99500 15.064
99600 15.0814
99700 15.0854
99800 15.1008
99900 15.0901
100000 15.0993
